title,url,reviewDate,releaseDate,classification,duration,genre,lead,director,language,distributor,scoreMargaret,scoreDavid,totalRating
Imagine Me and You,http://www.abc.net.au/atthemovies/txt/s1569752.htm,2/22/2006,23/02/2006,M,94,Comedy,Piper Perabo,Ol Parker,English,UIP,3,2.5,5.5
In Time,http://www.abc.net.au/atthemovies/txt/s3346872.htm,11/2/2011,27/10/2011,M,109,"Crime, Sci-Fi, Thriller",Justin Timberlake,Andrew Niccol,English,20th Century Fox,2.5,3,5.5
Inkheart,http://www.abc.net.au/atthemovies/txt/s2514410.htm,4/1/2009,2/4/2009,PG,106,Fantasy/Adventure,Brendan Fraser,Iain Softley,English,Roadshow,3,2.5,5.5
John Carter,http://www.abc.net.au/atthemovies/txt/s3441514.htm,3/7/2012,8/3/2011,,132,"Action, Adventure, Fantasy",Taylor Kitsch,Andrew Stanton,English,Pinnacle Films,3,2.5,5.5
Keeping Up With The Steins,http://www.abc.net.au/atthemovies/txt/s1768167.htm,11/1/2006,2/11/2006,PG,84,Comedy,Jeremy Piven,Scott Marshall,English,Champion Pictures,3,2.5,5.5
King Arthur,http://www.abc.net.au/atthemovies/txt/s1148397.htm,7/15/2004,15/07/2004,MA15+,125,Historical Epic,Clive Owen,Antoine Fuqua,English,Buena Vista International,2,3.5,5.5
Last Chance Harvey,http://www.abc.net.au/atthemovies/txt/s2481052.htm,2/25/2009,26/02/2009,PG,93,Romantic Drama,Dustin Hoffman,Joel Hopkins,English,Icon,2.5,3,5.5
Last Train To Freo,http://www.abc.net.au/atthemovies/txt/s1743495.htm,9/20/2006,14/09/2006,MA15+,85,Drama,Steve Le Marquand,Jeremy Sims,English,Dendy Films,4,1.5,5.5
Layer Cake,http://www.abc.net.au/atthemovies/txt/s1417792.htm,7/27/2005,28/07/2005,MA15+,105,Action,Daniel Craig,Matthew Vaughn,English,Sony Pictures Releasing,2.5,3,5.5
Letters to Juliet,http://www.abc.net.au/atthemovies/txt/s2879944.htm,5/12/2010,13/05/2010,PG,105,"Comedy, Romance",Amanda Seyfried,Gary Winick,English,Hoyts Distribution,3,2.5,5.5
Life as We Know It,http://www.abc.net.au/atthemovies/txt/s3023114.htm,10/20/2010,21/10/2010,M,114,"Comedy, Drama",Katherine Heigl,Greg Berlanti,English,Roadshow Films,3,2.5,5.5
Little White Lies,http://www.abc.net.au/atthemovies/txt/s3219942.htm,6/15/2011,16/06/2011,MA15+,148,"Comedy, Drama",Francois Cluzet,Guillaume Canet,French,Hopscotch,3.5,2,5.5
Love In The First Degree,http://www.abc.net.au/atthemovies/txt/s1629953.htm,5/10/2006,,M,87,Comedy,Joy Smithers,Michael Egan,English,Half Mute Productions,3,2.5,5.5
Love In The Time Of  Cholera,http://www.abc.net.au/atthemovies/txt/s2230325.htm,5/21/2008,22/05/2008,M,138,Romantic Drama,Javier Bardem,Mike Newell,English,Rialto,2.5,3,5.5
Luther,http://www.abc.net.au/atthemovies/txt/s1305780.htm,3/2/2005,3/3/2005,MA15+,118,Religious Bio Pic,Joseph Fiennes,Eric Till,English,Polyphony Entertainmnet,3,2.5,5.5
Madagascar,http://www.abc.net.au/atthemovies/txt/s1392449.htm,6/15/2005,16/06/2005,PG,86,Animation,,Eric Darnell,English,United International Pictures,2.5,3,5.5
Mamma Mia!,http://www.abc.net.au/atthemovies/txt/s2276347.htm,7/9/2008,10/7/2008,PG,108,Musical,Meryl Streep,Phyllida Lloyd,English,Universal,2,3.5,5.5
Miss Pettigrew Lives For A Day,http://www.abc.net.au/atthemovies/txt/s2229398.htm,5/7/2008,8/5/2008,PG,91,Romantic Comedy,Frances McDormand,Bharat Nalluri,English,Roadshow,3.5,2,5.5
Monkey Puzzle,http://www.abc.net.au/atthemovies/txt/s2379267.htm,10/22/2008,,M,90,Drama,Ben Geurens,Mark Forstmann,English,Totem Films,3,2.5,5.5
Mr Pip,http://www.abc.net.au/atthemovies/txt/s3875057.htm,11/5/2013,7/11/2013,M,116,"Drama, War","Hugh Laurie,",Andrew Adamson,English,Paramount Pictures Australia / Transmission Films,3,2.5,5.5
Mr Popper's Penguins,http://www.abc.net.au/atthemovies/txt/s3246771.htm,6/29/2011,30/06/2011,G,94,"Family, Comedy",Jim Carrey,Mark Waters,English,20th Century Fox,3,2.5,5.5
Must Love Dogs,http://www.abc.net.au/atthemovies/txt/s1474371.htm,10/5/2005,6/10/2005,M,98,Romantic Comedy,Diane Lane,Gary David Goldberg,English,Roadshow,2,3.5,5.5
My Blueberry Nights,http://www.abc.net.au/atthemovies/txt/s2335548.htm,8/27/2008,28/08/2008,M,90,Romantic Drama,Norah Jones,Kar Wai Wong,English,Roadshow Films,3,2.5,5.5
Nim's Island,http://www.abc.net.au/atthemovies/txt/s2192461.htm,4/2/2008,3/4/2008,PG,97,Comedy/Adventure,Abigail Breslin,Jennifer Flackett,English,Universal Pictures International,3,2.5,5.5
On A Clear Day,http://www.abc.net.au/atthemovies/txt/s1609012.htm,4/19/2006,13/04/2006,PG,98,Drama,Peter Mullan,Gaby Dellal,English,Icon Film Distribution,2.5,3,5.5
Ong Bak,http://www.abc.net.au/atthemovies/txt/s1309160.htm,3/9/2005,10/3/2005,MA15+,104,Martial Arts,Tony Jaa,Prachya Pinkaew,Thai,Madman Cinema,3,2.5,5.5
Orchestra Seats,http://www.abc.net.au/atthemovies/txt/s1912163.htm,5/23/2007,31/05/2007,M,101,Romantic Comedy,Cecile De France,Alain Sarde,French,Rialto Entertainment,3,2.5,5.5
Pandaemonium,http://www.abc.net.au/atthemovies/txt/s1417828.htm,7/20/2005,13/07/2005,M,124,Period Drama,Linus Roache,Julien Temple,English,Polyphony Entertainment,4,1.5,5.5
Paranormal Activity,http://www.abc.net.au/atthemovies/txt/s2751087.htm,12/6/2009,3/12/2009,M,86,"Horror, Thriller",Katie Featherston,Oren Peli,English,Icon Film Distribution,4,1.5,5.5
Paris 36,http://www.abc.net.au/atthemovies/txt/s2542665.htm,4/29/2009,30/04/2009,M,120,Drama,G,Christophe Barratier,French,Sony Pictures,2,3.5,5.5
Pirates Of The Caribbean 4:On Stranger Tides,http://www.abc.net.au/atthemovies/txt/s3219934.htm,5/25/2011,19/05/2011,M,,"Action, Adventure, Fantasy",Johnny Depp,Rob Marshall,English,Walt Disney Studios,2.5,3,5.5
Priceless,http://www.abc.net.au/atthemovies/txt/s1875006.htm,4/4/2007,5/4/2007,M,102,Comedy,Audrey Tautou,Pierre Salvadori,French,Sharmill Films,2.5,3,5.5
Push,http://www.abc.net.au/atthemovies/txt/s2656465.htm,9/2/2009,10/9/2009,M,111,Drama,Chris Evans,Paul McGuigan,English,Icon,3,2.5,5.5
Real Steel,http://www.abc.net.au/atthemovies/txt/s3312280.htm,10/5/2011,6/10/2011,M,127,"Action, Drama, Sci-Fi",Hugh Jackman,Shawn Levy,English,Dreamworks,3.5,2,5.5
Red State,http://www.abc.net.au/atthemovies/txt/s3317376.htm,10/12/2011,13/10/2011,MA15+,85,"Horror, Thriller",Michael Angarano,Kevin Smith,English,Curious Films,3.5,2,5.5
Resident Evil - Extinction,http://www.abc.net.au/atthemovies/txt/s2041941.htm,10/10/2007,11/10/2007,MA15+,94,Sci/Fi,Milla Jovovich,Russell Mulcahy,English,Sony Pictures Releasing,3,2.5,5.5
Resident Evil: Afterlife,http://www.abc.net.au/atthemovies/txt/s3033387.htm,10/13/2010,14/10/2010,MA15+,97,"Action, Horror, Sci-Fi, Thriller",Milla Jovovich,Paul W S Anderson,English,Sony Pictures Releasing,3.5,2,5.5
Riddick,http://www.abc.net.au/atthemovies/txt/s3835862.htm,9/17/2013,12/9/2013,MA15+,119,"Action, Adventure, Sci-Fi, Thriller",Vin Diesel,David Twohy,English,Roadshow Films,3.5,2,5.5
River Queen,http://www.abc.net.au/atthemovies/txt/s1674857.htm,7/5/2006,6/7/2006,M,112,Drama,Samantha Morton,Vincent Ward,English,20th Century Fox,3.5,2,5.5
Robot & Frank,http://www.abc.net.au/atthemovies/txt/s3623673.htm,11/14/2012,15/11/2012,M,89,"Crime, Comedy, Drama",Peter Sarsgaard,Jake Schreier,English,Sony Pictures Releasing,2,3.5,5.5
Safe,http://www.abc.net.au/atthemovies/txt/s3481320.htm,5/9/2012,10/5/2012,MA15+,94,"Action, Crime, Thriller",Jason Statham,Boaz Yakin,English,Icon Film Distribution,3,2.5,5.5
Salvation,http://www.abc.net.au/atthemovies/txt/s2502380.htm,3/18/2009,19/03/2009,M,98,Drama,Bruce Myles,Paul Cox,English,Hopscotch,3,2.5,5.5
Sanctum,http://www.abc.net.au/atthemovies/txt/s3092906.htm,2/9/2011,3/2/2011,M,109,"Action, Adventure, Drama, Thriller",Richard Roxburgh,Alister Grierson,English,Universal Pictures International,3,2.5,5.5
Sex Drive,http://www.abc.net.au/atthemovies/txt/s2402328.htm,11/12/2008,13/11/2008,MA15+,109,Comedy,Josh Zuckerman,Sean Anders,English,Hoyts,2.5,3,5.5
Shall We Dance,http://www.abc.net.au/atthemovies/txt/s1222154.htm,10/21/2004,21/10/2004,MA15+,106,Drama,Richard Gere,Peter Chelsom,English,Buena Vista International,2.5,3,5.5
Shrek The Third,http://www.abc.net.au/atthemovies/txt/s1940148.htm,6/6/2007,7/6/2007,PG,93,Animation,Mike Myers,Chris Miller,English,Paramount Pictures Australia,2.5,3,5.5
Shutter Island,http://www.abc.net.au/atthemovies/txt/s2806909.htm,2/17/2010,18/02/2010,MA15+,138,"Drama, Mystery, Thriller",Leonardo DiCaprio,Martin Scorsese,English,Paramount Pictures Australia,2,3.5,5.5
Sleepwalk With Me,http://www.abc.net.au/atthemovies/txt/s3713728.htm,4/2/2013,4/4/2013,M,81,Comedy,Mike Birbiglia,Mike Birbiglia,English,Sharmill Films,3,2.5,5.5
Slither,http://www.abc.net.au/atthemovies/txt/s1634909.htm,5/10/2006,18/05/2006,MA15+,96,Drama,Nathan Fillion,James Gunn,English,UIP,3,2.5,5.5
Spartan,http://www.abc.net.au/atthemovies/txt/s1148391.htm,7/15/2004,15/07/2004,M,100,Thriller,Val Kilmer,David Mamet,English,Hoyts,3,2.5,5.5
Spider-Man 3,http://www.abc.net.au/atthemovies/txt/s1900240.htm,5/2/2007,3/5/2007,M,140,Drama,Tobey Maguire,Sam Raimi,English,Sony Pictures Releasing,2,3.5,5.5
Street Kings,http://www.abc.net.au/atthemovies/txt/s2201623.htm,4/16/2008,17/04/2008,MA15+,107,Crime Thriller,Keanu Reeves,David Ayer,English,20th Century Fox,3,2.5,5.5
Suddenly 30,http://www.abc.net.au/atthemovies/txt/s1187952.htm,9/2/2004,2/9/2004,PG,97,"Comedy, Teen",Jennifer Garner,Gary Winick,English,Columbia Tri-Star Films,3.5,2,5.5
Tell No One,http://www.abc.net.au/atthemovies/txt/s2064680.htm,11/7/2007,8/11/2007,MA15+,131,Thriller,Fran,Guillaume Canet,French,Madman Cinema,2.5,3,5.5
Ten Empty,http://www.abc.net.au/atthemovies/txt/s2276251.htm,7/2/2008,3/7/2008,MA15+,95,Drama,Daniel Frederiksen,Anthony Hayes,English,Icon,3,2.5,5.5
The A-Team,http://www.abc.net.au/atthemovies/txt/s2912136.htm,6/9/2010,10/6/2010,,121,"Action, Adventure, Drama, Thriller",,Joe Carnahan,English,20th Century Fox,2.5,3,5.5
The Book of Eli,http://www.abc.net.au/atthemovies/txt/s2852870.htm,4/14/2010,15/04/2010,MA15+,118,"Action, Adventure, Drama, Thriller",Denzel Washington,Albert,English,Sony Pictures Releasing,3,2.5,5.5
The Call,http://www.abc.net.au/atthemovies/txt/s3758966.htm,5/21/2013,16/05/2013,MA15+,94,Thriller,Halle Berry,Brad Anderson,English,Roadshow Films,3,2.5,5.5
The Campaign,http://www.abc.net.au/atthemovies/txt/s3552382.htm,8/8/2012,9/8/2012,MA15+,85,campaign,Will Ferrell,Jay Roach,English,Roadshow Films,3,2.5,5.5
The Captive,http://www.abc.net.au/atthemovies/txt/s4127934.htm,11/25/2014,4/12/2014,MA15+,111,Thriller,Ryan Reynolds,Atom Egoyan,English,Icon Film Distribution,3,2.5,5.5
The Concert,http://www.abc.net.au/atthemovies/txt/s2860115.htm,4/28/2010,29/04/2010,M,119,Drama,Alexei Guskov,Radu Mihaileanu,French,Hopscotch Films,2.5,3,5.5
The Crossing,http://www.abc.net.au/atthemovies/txt/s3985141.htm,4/22/2014,24/04/2014,M,86,Documentary,Clark Carter,Julian Harvey,English,Umbrella Entertainment,2.5,3,5.5
The Eagle,http://www.abc.net.au/atthemovies/txt/s3258374.htm,7/20/2011,21/07/2011,M,114,"Adventure, Drama",Channing Tatum,Kevin Macdonald,English,Universal Pictures International,3.5,2,5.5
The Forbidden Kingdom,http://www.abc.net.au/atthemovies/txt/s2284385.htm,7/23/2008,24/07/2008,PG,104,Action/Fantasy,Jet Li,Rob Minkoff,English,Hoyts,2.5,3,5.5
The Girl Next Door,http://www.abc.net.au/atthemovies/txt/s1185947.htm,9/2/2004,26/08/2004,MA15+,109,Comedy,Emile Hirsch,Luke Greenfield,English,20th Century Fox,3,2.5,5.5
The Hills Have Eyes,http://www.abc.net.au/atthemovies/txt/s1613013.htm,4/19/2006,20/04/2006,R18+,107,Drama/Thriller,Aaron Stanford,Alexandre Aja,English,20th Century Fox,2.5,3,5.5
The Illustrated Family Doctor,http://www.abc.net.au/atthemovies/txt/s1305318.htm,3/2/2005,3/3/2005,MA15+,100,Black Comedy,Samuel Johnson,Kriv Stenders,English,Palace Films,3,2.5,5.5
The Incredible Hulk,http://www.abc.net.au/atthemovies/txt/s2266217.htm,6/18/2008,12/6/2008,M,112,Action/Sci/Fi,Edward Norton,Louis Leterrier,English,Paramount Pictures Australia,2.5,3,5.5
The Longest Yard,http://www.abc.net.au/atthemovies/txt/s1386311.htm,6/8/2005,2/6/2005,M,113,Comedy,Adam Sandler,Peter Segal,English,Sony Pictures Releasing,3,2.5,5.5
The Lost Bladesman,http://www.abc.net.au/atthemovies/txt/s3192830.htm,4/27/2011,28/04/2011,M,107,"Action, Biography, Drama",Donnie Yen,Alan Mak,Mandarin,ICON,3,2.5,5.5
The Lucky One,http://www.abc.net.au/atthemovies/txt/s3478531.htm,4/18/2012,19/04/2012,M,101,Drama,Zac Efron,Scott Hicks,English,Roadshow Films,3,2.5,5.5
The Maze Runner,http://www.abc.net.au/atthemovies/txt/s4087683.htm,9/16/2014,18/09/2014,M,114,"Action, Mystery, Sci-Fi",Dylan o,Wes Ball,English,20th Century Fox,3.5,2,5.5
The Nanny Diaries,http://www.abc.net.au/atthemovies/txt/s2023589.htm,9/26/2007,4/10/2007,M,105,Romantic Comedy,Scarlett Johansson,Shari Springer Berman,English,Roadshow,2.5,3,5.5
The Notorious Bettie Page,http://www.abc.net.au/atthemovies/txt/s1851297.htm,3/7/2007,8/3/2007,MA15+,91,Drama,Gretchen Mol,Mary Harron,English,Dendy Films,3,2.5,5.5
The Other Woman,http://www.abc.net.au/atthemovies/txt/s3970031.htm,4/15/2014,17/04/2014,M,107,"Comedy, Romance",Cameron Diaz,Nick Cassavetes,English,20th Century Fox,3.5,2,5.5
The Proposal,http://www.abc.net.au/atthemovies/txt/s2589490.htm,6/17/2009,18/06/2009,PG,107,Romantic Comedy,Sandra Bullock,Anne Fletcher,English,Walt Disney Studios,3.5,2,5.5
The Rebound,http://www.abc.net.au/atthemovies/txt/s2831143.htm,3/17/2010,18/03/2010,M,94,"Comedy, Romance",Catherine Zeta-Jones,Bart Freundlich,English,Roadshow Films,2.5,3,5.5
The Ring 2,http://www.abc.net.au/atthemovies/txt/s1328029.htm,3/30/2005,24/03/2005,M,109,Thriller / Horror,Naomi Watts,Hideo Nakata,English,United International Pictures,3,2.5,5.5
The Sorcerer and the White Snake,http://www.abc.net.au/atthemovies/txt/s3307862.htm,9/28/2011,29/09/2011,M,99,"Drama, Thriller",Jet Li,Siu-Tung Ching,Chinese,Icon Film Distribution,3,2.5,5.5
The Terminal,http://www.abc.net.au/atthemovies/txt/s1188286.htm,9/9/2004,9/9/2004,PG,129,Drama,Tom Hanks,Steven Spielberg,English,United International Pictures,3,2.5,5.5
The Thing,http://www.abc.net.au/atthemovies/txt/s3325804.htm,10/12/2011,13/10/2011,MA15+,103,"Horror, Mystery, Sci-Fi, Thriller",Joel Edgerton,Matthijs van Heijningen Jr,English,Universal Pictures International,2,3.5,5.5
The Trip,http://www.abc.net.au/atthemovies/txt/s3246773.htm,6/29/2011,30/06/2011,MA15+,107,Comedy,Steve Coogan,Michael Winterbottom,English,Madman,3,2.5,5.5
The Village,http://www.abc.net.au/atthemovies/txt/s1185778.htm,9/2/2004,2/9/2004,MA15+,108,Thriller,Joaquin Phoenix,M Night Shyamalan,English,Buena Vista International,3.5,2,5.5
The Vow,http://www.abc.net.au/atthemovies/txt/s3425056.htm,2/15/2012,9/2/2012,PG,104,"Romance, Drama",Channing Tatum,Michael Sucsy,English,Sony Pictures Releasing,3,2.5,5.5
The Whistleblower,http://www.abc.net.au/atthemovies/txt/s3307857.htm,9/28/2011,29/09/2011,,112,Drama,Rachel Weisz,Larysa Kondracki,English,Hopscotch,3.5,2,5.5
The White Countess,http://www.abc.net.au/atthemovies/txt/s1622828.htm,4/26/2006,27/04/2006,M,135,Drama,Ralph Fiennes,James Ivory,English,Sony Pictures Releasing,3.5,2,5.5
Then She Found Me,http://www.abc.net.au/atthemovies/txt/s2229482.htm,5/14/2008,15/05/2008,M,100,Romantic Comedy,Helen Hunt,Helen Hunt,English,Hopscotch,2.5,3,5.5
Therese Desqueyroux,http://www.abc.net.au/atthemovies/txt/s3720866.htm,4/9/2013,11/4/2013,M,110,Drama,Audrey Tautou,Claude Miller,English,ICON Film Distribution,2,3.5,5.5
Towelhead,http://www.abc.net.au/atthemovies/txt/s2355353.htm,10/8/2008,9/10/2008,MA15+,116,Drama,Summer Bishil,Alan Ball,English,Roadshow,2,3.5,5.5
Valentine's Day,http://www.abc.net.au/atthemovies/txt/s2806902.htm,2/10/2010,11/2/2010,,,"Comedy, Romance",,Garry Marshall,English,Roadshow Films,2.5,3,5.5
Vantage Point,http://www.abc.net.au/atthemovies/txt/s2178083.htm,3/12/2008,13/03/2008,M,89,Drama,Dennis Quaid,Pete Travis,English,Sony Pictures Releasing,3,2.5,5.5
Wanted,http://www.abc.net.au/atthemovies/txt/s2297946.htm,7/30/2008,31/07/2008,MA15+,108,Drama,James McAvoy,Timur Bekmambetov,English,Universal Pictures,3,2.5,5.5
What Just Happened,http://www.abc.net.au/atthemovies/txt/s2549475.htm,5/20/2009,21/05/2009,M,104,Comedy/Drama,Robert De Niro,Barry Levinson,English,Hopscotch,3,2.5,5.5
X Files - I Want To Believe,http://www.abc.net.au/atthemovies/txt/s2284354.htm,7/30/2008,24/07/2008,M,104,Mystery Sci/Fi,David Duchovny,Chris Carter,English,20th Century Fox,3,2.5,5.5
X-Men Origins - Wolverine,http://www.abc.net.au/atthemovies/txt/s2542553.htm,4/29/2009,29/04/2009,M,103,Action/Fantasy,Hugh Jackman,Gavin Hood,English,20th Century Fox,3,2.5,5.5
You Ain't Seen Nothin' Yet!,http://www.abc.net.au/atthemovies/txt/s3777347.htm,6/11/2013,13/06/2013,PG,115,Drama,Mathieu Amalric,Alain Resnais,French,Sharmill Films,2.5,3,5.5
Youth Without Youth,http://www.abc.net.au/atthemovies/txt/s2412248.htm,11/19/2008,20/11/2008,M,120,Drama,Tim Roth,Francis Ford Coppola,English,Hopscotch,4,1.5,5.5
Zombieland,http://www.abc.net.au/atthemovies/txt/s2751085.htm,12/6/2009,3/12/2009,MA15+,88,"Action, Drama, Comedy",Jesse Eisenberg,Ruben Fleischer,English,Sony,3,2.5,5.5
48 Shades,http://www.abc.net.au/atthemovies/txt/s1720012.htm,8/30/2006,31/08/2006,M,96,Drama,Richard Wilson,Daniel Lapaine,English,Buena Vista International,2,3,5
A Bunch of Amateurs,http://www.abc.net.au/atthemovies/txt/s2692972.htm,10/7/2009,8/10/2009,M,96,Comedy,Burt Reynolds,Andy Cadiff,English,Rialto,3,2,5
A Heartbeat Away,http://www.abc.net.au/atthemovies/txt/s3157150.htm,3/16/2011,17/03/2011,PG,91,"Comedy, Musical",Sebastian Gregory,Gale Edwards,English,Hoyts,2.5,2.5,5
A Pain In The Ass,http://www.abc.net.au/atthemovies/txt/s2527735.htm,4/15/2009,9/4/2009,M,88,Comedy,Richard Berry,Francis Veber,French,Sharmill Films,3,2,5
Absolute Deception,http://www.abc.net.au/atthemovies/txt/s3827511.htm,8/27/2013,29/08/2013,M,127,Action,Cuba Gooding Jr,Brian Trenchard-Smith,English,IFM/FILMWAYS,3,2,5
Arthur,http://www.abc.net.au/atthemovies/txt/s3177964.htm,4/20/2011,21/04/2011,MA15+,130,Comedy,Russell Brand,Jason Winer,English,Roadshow Films,1.5,3.5,5
Beautiful Lies,http://www.abc.net.au/atthemovies/txt/s3257529.htm,7/13/2011,21/07/2011,M,105,"Comedy, Romance",Audrey Tautou,Pierre Salvadori,French,Transmission Films,2.5,2.5,5
Big Mamma's Boy,http://www.abc.net.au/atthemovies/txt/s3261478.htm,7/27/2011,28/07/2011,PG,98,Comedy,Frank Lotito,Franco Di Chiera,English,Madman,2.5,2.5,5
Biutiful,http://www.abc.net.au/atthemovies/txt/s3163488.htm,3/23/2011,24/03/2011,MA15+,148,Drama,Javier Bardem,Alejandro Gonzalez Inarritu,English,Madman,3,2,5
Blinder,http://www.abc.net.au/atthemovies/txt/s3689387.htm,3/5/2013,7/3/2013,M,119,Drama,Oliver Ackland,Richard Gray,English,The Backlot Studios,3.5,1.5,5
Brighton Rock,http://www.abc.net.au/atthemovies/txt/s3173892.htm,4/13/2011,14/04/2011,MA15+,111,"Crime, Drama, Thriller",Sam Riley,Rowan Joffe,English,Madman Cinema,1.5,3.5,5
Bubba Ho-Tep,http://www.abc.net.au/atthemovies/txt/s1299808.htm,2/23/2005,24/02/2005,M,92,Comedy,Bruce Campbell,Don Coscarelli,English,Magna Pacific,3.5,1.5,5
Cashback,http://www.abc.net.au/atthemovies/txt/s1968412.htm,7/18/2007,26/07/2007,MA15+,102,Romantic Comedy,Sean Biggerstaff,Sean Ellis,English,Madman,3,2,5
Children Of The Silk Road,http://www.abc.net.au/atthemovies/txt/s2276310.htm,7/9/2008,3/7/2008,M,125,Drama,Jonathan Rhys Meyers,Roger Spottiswoode,English,20th Century Fox,2.5,2.5,5
Cirque du Freak: The Vampire's Assistant,http://www.abc.net.au/atthemovies/txt/s2831132.htm,3/10/2010,11/3/2010,M,104,"Action, Adventure, Comedy, Fantasy Horror, Thriller",John C Reilly,Paul Weitz,English,Universal Pictures International,3,2,5
Coco Chanel & Igor Stravinsky,http://www.abc.net.au/atthemovies/txt/s2852871.htm,4/14/2010,15/04/2010,MA15+,115,"Romance, Drama",Anna Mouglalis,Jan Kounen,French,Madman Cinema,2,3,5
Dear John,http://www.abc.net.au/atthemovies/txt/s2820915.htm,3/3/2010,4/3/2010,M,109,"Drama, Romance, War",Channing Tatum,Lasse Hallstrom,English,Roadshow Films,3,2,5
Disturbia,http://www.abc.net.au/atthemovies/txt/s1887624.htm,4/11/2007,12/4/2007,M,100,Thriller,Shia LaBeouf,D. J. Caruso,English,Paramount Pictures Australia,3,2,5
Dodgeball: A True Underdog Story,http://www.abc.net.au/atthemovies/txt/s1185964.htm,9/2/2004,2/9/2004,MA15+,92,Comedy,Ben Stiller,Rawson Marshall Thurber,English,20th Century Fox,2.5,2.5,5
Dorian Gray,http://www.abc.net.au/atthemovies/txt/s2725421.htm,11/11/2009,12/11/2009,MA15+,112,Drama,Ben Barnes,Oliver Parker,English,Roadshow,3,2,5
Dredd 3D,http://www.abc.net.au/atthemovies/txt/s3607038.htm,10/24/2012,25/10/2012,MA15+,96,"Action, Sci-Fi",Karl Urban,Pete Travis,English,Icon Film Distribution,3.5,1.5,5
Ender's Game,http://www.abc.net.au/atthemovies/txt/s3898562.htm,12/2/2013,5/12/2013,M,115,"Action, Adventure, Sci Fi",Harrison Ford,Gavin Hood,English,ICON Film Distribution,2.5,2.5,5
Fantastic 4 Rise Of The Silver Surfer,http://www.abc.net.au/atthemovies/txt/s1949905.htm,6/20/2007,21/06/2007,PG,92,Sci/Fi,Ioan Gruffudd,Tim Story,English,20th Century Fox,3,2,5
Fantastic Four,http://www.abc.net.au/atthemovies/txt/s1407272.htm,7/6/2005,7/7/2005,M,105,Action/ Adventure,Ioan Gruffudd,Tim Story,English,20th Century Fox,2.5,2.5,5
Flightplan,http://www.abc.net.au/atthemovies/txt/s1500899.htm,11/9/2005,10/11/2005,MA15+,98,Thriller,Jodie Foster,Robert Schwentke,English,BVI,3,2,5
Fly Me To The Moon,http://www.abc.net.au/atthemovies/txt/s3875049.htm,10/29/2013,31/10/2013,M,101,Comedy,Diane Kruger,Pascal Chaumeil,French,Madman Cinema,2.5,2.5,5
From Time To Time,http://www.abc.net.au/atthemovies/txt/s3226793.htm,6/8/2011,,PG,95,"Adventure, Drama, Fantasy",Maggie Smith,Julian Fellowes,English,Hopscotch,3,2,5
Gabriel,http://www.abc.net.au/atthemovies/txt/s2066063.htm,11/14/2007,15/11/2007,M,113,Action,andy Whitfield,Shane Abbess,English,Sony Pictures Releasing,3.5,1.5,5
Ghosts of Girlfriends Past,http://www.abc.net.au/atthemovies/txt/s2552154.htm,5/13/2009,7/5/2009,M,100,Romantic Comedy,Matthew McConaughey,Mark Waters,English,Roadshow,3,2,5
God On My Side,http://www.abc.net.au/atthemovies/txt/s1768158.htm,11/1/2006,2/11/2006,PG,76,Documentary - Presented by Andrew Denton,,,English,Hopscotch,3.5,1.5,5
Good,http://www.abc.net.au/atthemovies/txt/s2527094.htm,4/8/2009,9/4/2009,M,92,Drama,Viggo Mortensen,Vicente Amorim,English,Paramount Pictures Australia,3,2,5
Greetings from Tim Buckley,http://www.abc.net.au/atthemovies/txt/s3798377.htm,7/23/2013,1/8/2013,,99,Drama,Penn Badgley,Daniel,English,ICON Film Distribution,2,3,5
Haute Cuisine,http://www.abc.net.au/atthemovies/txt/s3732921.htm,4/23/2013,25/04/2013,M,105,Biography,Catherine Frot,Christian Vincent,English,Transmission Films,3,2,5
Head in the Clouds,http://www.abc.net.au/atthemovies/txt/s1392554.htm,6/15/2005,9/6/2005,MA15+,121,Drama,,John Duigan,English,Sony Pictures Releasing,2.5,2.5,5
Hide and Seek,http://www.abc.net.au/atthemovies/txt/s1299810.htm,2/16/2005,10/2/2005,M,101,Horror,Robert De Niro,John Polson,English,20th Century Fox,3,2,5
Hostel Part II,http://www.abc.net.au/atthemovies/txt/s1941379.htm,6/6/2007,7/6/2007,R18+,94,Thriller,Lauren German,Eli Roth,English,Sony Pictures Releasing,2.5,2.5,5
I Am Number Four,http://www.abc.net.au/atthemovies/txt/s3136505.htm,2/23/2011,24/02/2011,M,109,"Action, Sci-Fi, Thriller",Alex Pettyfer,D.J. Caruso,English,Walt Disney Studios,3.5,1.5,5
Ice Age - Dawn Of The Dinosaurs,http://www.abc.net.au/atthemovies/txt/s2602195.htm,7/1/2009,1/7/2009,PG,94,Animation,Ray Romano,Carlos Saldanha,English,20th Century Fox,2.5,2.5,5
Irina Palm,http://www.abc.net.au/atthemovies/txt/s2018257.htm,9/19/2007,20/09/2007,MA15+,99,Drama,Marianne Faithfull,Sam Garbarski,English,Sharmill Films &amp; Aztec International Entertainment,3,2,5
Irvine Welsh's Ecstasy,http://www.abc.net.au/atthemovies/txt/s3479278.htm,4/25/2012,25/04/2012,MA15+,100,"Drama, Romance",Adam Sinclair,Rob Heydon,English,Potential Films,2.5,2.5,5
Jobs,http://www.abc.net.au/atthemovies/txt/s3826161.htm,8/20/2013,29/08/2013,M,127,"Biography, Drama",Ashton Kutcher,Joshua Michael Stern,English,Pinnacle Films,3,2,5
