title,url,reviewDate,releaseDate,classification,duration,genre,lead,director,language,distributor,scoreMargaret,scoreDavid,totalRating
Eastern Promises,http://www.abc.net.au/atthemovies/txt/s2053907.htm,10/24/2007,25/10/2007,R18+,99,Drama,Viggo Mortensen,David Cronenberg,English,Roadshow,4.5,4,8.5
"Food, Inc.",http://www.abc.net.au/atthemovies/txt/s2879962.htm,5/19/2010,20/05/2010,PG,88,Documentary,,Robert Kenner,English,Roadshow Films,4.5,4,8.5
Frankenweenie,http://www.abc.net.au/atthemovies/txt/s3607020.htm,10/24/2012,25/10/2012,PG,87,"Comedy, Animation, Horrow, Sci-Fi",Voices,Tim Burton,English,Walt Disney Studios,4.5,4,8.5
Frost/Nixon,http://www.abc.net.au/atthemovies/txt/s2425362.htm,12/14/2008,26/12/2008,M,122,Drama,Frank Langella,Ron Howard,English,Universal Pictures,4.5,4,8.5
Gallipoli,http://www.abc.net.au/atthemovies/txt/s1489209.htm,11/2/2005,3/11/2005,PG,119,Documentary,,Tolga Ornek,English,Ronin Films,4.5,4,8.5
Gone Baby Gone,http://www.abc.net.au/atthemovies/txt/s2201400.htm,4/9/2008,17/04/2008,MA15+,114,Drama,Casey Affleck,Ben Affleck,English,Walt Disney Studios,4.5,4,8.5
Gravity,http://www.abc.net.au/atthemovies/txt/s3851222.htm,10/1/2013,3/10/2013,M,91,"Drama, Mystery, Sci Fi, Thriller",Sandra Bullock,Alfonso Cuaron,English,Roadshow Films,4.5,4,8.5
Green Zone,http://www.abc.net.au/atthemovies/txt/s2820921.htm,3/10/2010,11/3/2010,M,107,"Action, Drama, Thriller, War",Matt Damon,Paul Greengrass,English,Universal Pictures International,4.5,4,8.5
Hero,http://www.abc.net.au/atthemovies/txt/s1227192.htm,10/28/2004,4/11/2004,MA15+,99,Drama,Jet Li,Zhang Yimou,Cantonese,Miramax Films,4.5,4,8.5
Hidden,http://www.abc.net.au/atthemovies/txt/s1622819.htm,4/26/2006,4/5/2006,MA15+,113,Drama,Daniel Auteuil,Michael Haneke,French,Madman/Dendy Films,4.5,4,8.5
House of Flying Daggers,http://www.abc.net.au/atthemovies/txt/s1293586.htm,2/16/2005,17/02/2005,M,118,Action/Martial Arts/Romance,Zhang Ziyi,Zhang Yimou,Mandarin,United International Pictures,4,4.5,8.5
How I Ended This Summer,http://www.abc.net.au/atthemovies/txt/s3163478.htm,4/6/2011,7/4/2011,M,124,Drama,,Aleksei Popogrebsky,Russian,Palace Films,4,4.5,8.5
I Am Love (Io Sono L'amore),http://www.abc.net.au/atthemovies/txt/s2917516.htm,6/23/2010,24/06/2010,MA15+,120,Drama,Tilda Swinton,Luca Guadagnino,Italian,Rialto Films,4.5,4,8.5
In Search Of Beethoven,http://www.abc.net.au/atthemovies/txt/s2693242.htm,10/14/2009,,G,139,"Documentary, Biography, Music",,Phil Grabsky,English,Gil Scrine Films,4.5,4,8.5
Inglourious Basterds,http://www.abc.net.au/atthemovies/txt/s2642583.htm,8/19/2009,20/08/2009,MA15+,94,"Adventure, Drama, War",Brad Pitt,Quentin Tarantin,,Universal,4.5,4,8.5
Inside Deep Throat,http://www.abc.net.au/atthemovies/txt/s1489190.htm,11/2/2005,10/11/2005,R18+,88,Documentary,,Fenton Bailey,English,Dendy Films,4.5,4,8.5
Inside Llewyn Davis,http://www.abc.net.au/atthemovies/txt/s3898569.htm,12/10/2013,16/01/2014,MA15+,105,"Drama, Music",Oscar Issac,Ethan Coen,English,Roadshow Films,4,4.5,8.5
Jindabyne,http://www.abc.net.au/atthemovies/txt/s1675402.htm,7/12/2006,20/07/2006,M,120,Drama/Thriller,Laura Linney,Ray Lawrence,English,Roadshow,4,4.5,8.5
Killing Them Softly,http://www.abc.net.au/atthemovies/txt/s3601830.htm,10/10/2012,11/10/2012,MA15+,97,"Crime, Thriller",Brad Pitt,Andrew Dominik,English,Hoyts,4,4.5,8.5
King Kong,http://www.abc.net.au/atthemovies/txt/s1507902.htm,12/13/2005,14/12/2005,M,187,Action/Fantasy Drama,Naomi Watts,Peter Jackson,English,UIP,4,4.5,8.5
Last Ride,http://www.abc.net.au/atthemovies/txt/s2603222.htm,7/1/2009,2/7/2009,M,101,Drama,Hugo Weaving,Glendyn Ivin,English,Madman,4,4.5,8.5
Le Havre,http://www.abc.net.au/atthemovies/txt/s3442317.htm,3/21/2012,29/03/2012,PG,93,"Comedy, Drama",Marcel Marx,Aki Kaurismaki,French,Sharmill Films,4,4.5,8.5
Le Week-End,http://www.abc.net.au/atthemovies/txt/s3938326.htm,2/18/2014,20/02/2014,M,93,"Comedy, Drama",Jim Broadbent,Roger Michell,English,Transmission Films,4.5,4,8.5
Les Miserables,http://www.abc.net.au/atthemovies/txt/s3623687.htm,12/5/2012,26/12/2012,,152,"Drama, Musical, Romance",Hugh Jackman,Tom Hooper,English,Universal Pictures International,4.5,4,8.5
Live and Become,http://www.abc.net.au/atthemovies/txt/s1601742.htm,4/5/2006,6/4/2006,M,149,Drama,Yael Abecassis,Radu Mihaileanu,,Hopscotch,4.5,4,8.5
Margaret,http://www.abc.net.au/atthemovies/txt/s3526163.htm,6/27/2012,,MA15+,144,Drama,Anna Paquin,Kenneth Lonergan,English,20th Century Fox,4.5,4,8.5
Maria Full of Grace,http://www.abc.net.au/atthemovies/txt/s1320146.htm,3/23/2005,24/03/2005,M,101,Drama,Catalina Sandino Moreno,Joshua Marston,Spanish,Rialto,4.5,4,8.5
Me and Orson Welles,http://www.abc.net.au/atthemovies/txt/s2931060.htm,7/21/2010,29/07/2010,PG,114,Drama,Zac Efron,Richard Linklater,English,Madman,4.5,4,8.5
Mea Maxima Culpa: Silence In The House Of God,http://www.abc.net.au/atthemovies/txt/s3697737.htm,3/19/2013,21/03/2013,M,102,Documentary,,Alex Gibney,English,Madman,4.5,4,8.5
Meek's Cut Off,http://www.abc.net.au/atthemovies/txt/s3235062.htm,6/22/2011,7/7/2011,PG,104,Drama,Michelle Williams,Kelly Reichardt,English,Madman,4.5,4,8.5
Metallica: Some Kind of Monster,http://www.abc.net.au/atthemovies/txt/s1188267.htm,9/9/2004,16/09/2004,,126,Documentary,,Joe Berlinger &amp; Bruce Sinofsky,English,Dendy Films,4,4.5,8.5
Mic Macs,http://www.abc.net.au/atthemovies/txt/s2844465.htm,3/31/2010,1/4/2010,M,104,"Comedy, Crime",Dany Boon,Jean-Pierre Jeunet,French,Hopscotch,4,4.5,8.5
Moneyball,http://www.abc.net.au/atthemovies/txt/s3355192.htm,11/9/2011,10/11/2011,M,133,"Drama, Biography, Sport",Brad Pitt,Bennett Miller,English,Sony Pictures Releasing,4.5,4,8.5
Moolaade,http://www.abc.net.au/atthemovies/txt/s1407941.htm,7/6/2005,7/7/2005,M,123,Drama,andy Bichlbaum,Ousmane Sembene,French,Sharmill Films,4,4.5,8.5
Mrs Carey's Concert,http://www.abc.net.au/atthemovies/txt/s3194839.htm,4/27/2011,28/04/2011,PG,95,"Documentary, Music",,Bob Connolly,English,Music Films,4,4.5,8.5
Nebraska,http://www.abc.net.au/atthemovies/txt/s3938324.htm,2/18/2014,20/02/2014,M,115,"Adventure, Drama",Bruce Dern,Alexander Payne,English,Roadshow Films,4,4.5,8.5
Noise,http://www.abc.net.au/atthemovies/txt/s1900374.htm,5/2/2007,3/5/2007,MA15+,108,Drama,Brendan Cowell,Matthew Saville,English,Madman Cinema,4.5,4,8.5
Philomena,http://www.abc.net.au/atthemovies/txt/s3903334.htm,12/10/2013,26/12/2013,M,98,Drama,Judi Dench,Stephen Frears,English,Hopscotch Films,4,4.5,8.5
Predestination,http://www.abc.net.au/atthemovies/txt/s4067800.htm,8/26/2014,28/08/2014,MA15+,97,"Sci-Fi, Thriller",Ethan hawke,Michael Spierig,English,Pinnacle Films,4,4.5,8.5
Pride and Prejudice,http://www.abc.net.au/atthemovies/txt/s1479479.htm,10/12/2005,20/10/2005,G,127,Romance / Drama,Keira Knightley,Joe Wright,English,United International Pictures,4,4.5,8.5
Red Dog,http://www.abc.net.au/atthemovies/txt/s3272052.htm,8/3/2011,4/8/2011,PG,93,"Drama, Adventure",Josh Lucas,Kriv Stenders,English,Roadshow,4,4.5,8.5
Robin Hood,http://www.abc.net.au/atthemovies/txt/s2879960.htm,5/19/2010,13/05/2010,M,148,"Action, Drama",Russell Crowe,Ridley Scott,English,Universal Pictures International,4,4.5,8.5
Rush,http://www.abc.net.au/atthemovies/txt/s3849722.htm,10/1/2013,3/10/2013,MA15+,123,"Action, Biography, Drama, Sport",Chris Hemsworth,Ron Howard,English,Hopscotch Films,4,4.5,8.5
Shame,http://www.abc.net.au/atthemovies/txt/s3378130.htm,2/8/2012,9/2/2012,R18+,99,Drama,Michael Fassbender,Steve McQueen,English,Transmission/Paramount Pictures Australia,4.5,4,8.5
Sketches of Frank Gehry,http://www.abc.net.au/atthemovies/txt/s1756316.htm,10/11/2006,12/10/2006,M,84,Documentary,,Sydney Pollack,English,Hopscotch,4.5,4,8.5
Skyfall,http://www.abc.net.au/atthemovies/txt/s3623688.htm,11/21/2012,22/11/2012,M,143,"Action, Drama",Daniel Craig,Sam Mendes,English,Sony Pictures Releasing,4,4.5,8.5
Soul Kitchen,http://www.abc.net.au/atthemovies/txt/s2875039.htm,4/28/2010,6/5/2010,MA15+,99,Comedy,Adam Bousdoukos,Fatih Akin,German,Sharmill Films,4,4.5,8.5
"Spring, Summer, Fall, Winter and Spring",http://www.abc.net.au/atthemovies/txt/s1203169.htm,9/23/2004,23/09/2004,MA15+,103,Drama/ Foreign Language,,Kim Ki-Duk,Korean,Rialto Entertainment,4,4.5,8.5
State Of Play,http://www.abc.net.au/atthemovies/txt/s2549456.htm,5/20/2009,28/05/2009,M,117,Drama,Russell Crowe,Kevin Macdonald,English,Universal,4,4.5,8.5
Stories We Tell,http://www.abc.net.au/atthemovies/txt/s3849675.htm,9/24/2013,26/09/2013,M,93,Documentary,As themselves,Sarah Polley,English,Palace Films,4.5,4,8.5
Stranger than Fiction,http://www.abc.net.au/atthemovies/txt/s1803891.htm,12/17/2006,1/2/2007,M,113,Drama Comedy,Will Ferrell,Marc Forster,English,Roadshow Films,4.5,4,8.5
Suburban Mayhem,http://www.abc.net.au/atthemovies/txt/s1755542.htm,10/18/2006,26/10/2006,MA15+,95,Drama,Emily Barclay,Paul Goldman,English,Icon Films,4.5,4,8.5
Tabu,http://www.abc.net.au/atthemovies/txt/s3750456.htm,5/14/2013,16/05/2013,MA15+,118,"Drama, Romance",,Miguel Gomes,Portuguese,,4.5,4,8.5
Ten Canoes,http://www.abc.net.au/atthemovies/txt/s1664545.htm,6/28/2006,29/06/2006,M,92,Drama,Crusoe Kurrdal,Rolf De Heer,English,Palace Films,4,4.5,8.5
The Angels' Share,http://www.abc.net.au/atthemovies/txt/s3623675.htm,11/14/2012,15/11/2012,MA15+,101,"Comedy, Drama",Paul Brannigan,Ken Loach,English,Vendetta Films,4.5,4,8.5
The Artist,http://www.abc.net.au/atthemovies/txt/s3419709.htm,2/8/2012,2/2/2012,PG,100,"Comedy, Romance, Drama",Jean Dujardin,Michel Hazanavicius,English,Roadshow Films,4,4.5,8.5
The Aviator,http://www.abc.net.au/atthemovies/txt/s1292806.htm,2/9/2005,10/2/2005,M,170,Drama,Leonardo DiCaprio,Martin Scorsese,English,Roadshow Films,4.5,4,8.5
